time,signal
0.000000000000000000e+00,6.409463372947621362e-01
2.004008016032064049e-02,2.141825509393584237e-01
4.008016032064128098e-02,6.544847464928282843e-01
6.012024048096192147e-02,-1.290930553390292612e-01
8.016032064128256196e-02,-1.078613215828776450e-01
1.002004008016031955e-01,7.785964348666516432e-01
1.202404809619238429e-01,1.007261185327973818e+00
1.402805611222444904e-01,-2.101564855584484026e-01
1.603206412825651239e-01,-9.429213507093453517e-02
1.803607214428857575e-01,5.462684772740211692e-01
2.004008016032063910e-01,5.436813676503088333e-01
2.204408817635270523e-01,2.629630480084703126e-01
2.404809619238476859e-01,4.306826634303244083e-01
2.605210420841683194e-01,8.674855218934904855e-01
2.805611222444889807e-01,1.468892520457001361e-01
3.006012024048095865e-01,9.060780056283286310e-01
3.206412825651302478e-01,5.240537502501315670e-01
3.406813627254509091e-01,2.284769670856036106e-01
3.607214428857715149e-01,6.221807467575485306e-01
3.807615230460921762e-01,1.743058461458969477e-01
4.008016032064127820e-01,9.351746199165915652e-01
4.208416833667334433e-01,6.224607049984364204e-01
4.408817635270541047e-01,1.395244828745228372e+00
4.609218436873747105e-01,8.107941833296676837e-01
4.809619238476953718e-01,6.817600816532158881e-01
5.010020040080159776e-01,8.078736523268230663e-01
5.210420841683366389e-01,8.782222530439773855e-01
5.410821643286573002e-01,1.329913040216209374e+00
5.611222444889779615e-01,1.128959898423507413e+00
5.811623246492986228e-01,1.530362435394059917e+00
6.012024048096191731e-01,1.757581335205049999e+00
6.212424849699398344e-01,6.863412122155860828e-01
6.412825651302604957e-01,1.160820694212968851e+00
6.613226452905811570e-01,7.838191359129100810e-01
6.813627254509018183e-01,1.140944141708668536e+00
7.014028056112223686e-01,5.230614911342414963e-01
7.214428857715430299e-01,1.433239482151647204e+00
7.414829659318636912e-01,1.981382742571602407e+00
7.615230460921843525e-01,1.790078594788246491e+00
7.815631262525050138e-01,1.670595744676541372e+00
8.016032064128255641e-01,1.478366117095917698e+00
8.216432865731462254e-01,7.539342495230115793e-01
8.416833667334668867e-01,1.576827883608636460e+00
8.617234468937875480e-01,1.183611338468429475e+00
8.817635270541082093e-01,2.058562671116870746e+00
9.018036072144288706e-01,1.541096240323403865e+00
9.218436873747494209e-01,2.168733190245548226e+00
9.418837675350700822e-01,1.348547464764782156e+00
9.619238476953907435e-01,1.044470848915459049e+00
9.819639278557114048e-01,2.195456491100493679e+00
1.002004008016031955e+00,2.025963861257130905e+00
1.022044088176352616e+00,1.490046242100979690e+00
1.042084168336673278e+00,1.987219534671097909e+00
1.062124248496993939e+00,1.813512243859808581e+00
1.082164328657314600e+00,1.774619932114214427e+00
1.102204408817635262e+00,2.079504632386608431e+00
1.122244488977955923e+00,2.143216591422374862e+00
1.142284569138276584e+00,1.836812472579757660e+00
1.162324649298597246e+00,1.899567125766233211e+00
1.182364729458917685e+00,1.445641872174771247e+00
1.202404809619238346e+00,2.052260866344358892e+00
1.222444889779559007e+00,1.577543089667011511e+00
1.242484969939879669e+00,2.587462801377541588e+00
1.262525050100200330e+00,2.513127666398178750e+00
1.282565130260520991e+00,2.833073359275333214e+00
1.302605210420841653e+00,2.961223034360076944e+00
1.322645290581162314e+00,2.331706672343489828e+00
1.342685370741482975e+00,2.628296971991409769e+00
1.362725450901803637e+00,1.735049854042359563e+00
1.382765531062124298e+00,2.204409896942334690e+00
1.402805611222444737e+00,2.280223772232358392e+00
1.422845691382765398e+00,2.079942799982217760e+00
1.442885771543086060e+00,1.600562066580073273e+00
1.462925851703406721e+00,1.972233671688188084e+00
1.482965931863727382e+00,2.914829615725490264e+00
1.503006012024048044e+00,1.005902613455051497e+00
1.523046092184368705e+00,2.626907544183139542e+00
1.543086172344689366e+00,1.517491621916666533e+00
1.563126252505010028e+00,1.108511108098323428e+00
1.583166332665330689e+00,1.629348533298970336e+00
1.603206412825651128e+00,7.258069322608171614e-01
1.623246492985971789e+00,2.212694117746513811e+00
1.643286573146292451e+00,2.559611775453439542e+00
1.663326653306613112e+00,1.118593624283682253e+00
1.683366733466933773e+00,1.591691749052630778e+00
1.703406813627254435e+00,1.745453789840056613e+00
1.723446893787575096e+00,1.394078595746910398e+00
1.743486973947895757e+00,1.931386483141303678e+00
1.763527054108216419e+00,2.270741215017585191e+00
1.783567134268537080e+00,2.304631285162866305e+00
1.803607214428857741e+00,1.583525933451729539e+00
1.823647294589178181e+00,2.631939297602318817e+00
1.843687374749498842e+00,1.304161151638123739e+00
1.863727454909819503e+00,2.358071168326303368e+00
1.883767535070140164e+00,1.923426670877184996e+00
1.903807615230460826e+00,1.832384049662876269e+00
1.923847695390781487e+00,2.080493895219975631e+00
1.943887775551102148e+00,8.964301850666511751e-01
1.963927855711422810e+00,1.794770766328604328e+00
1.983967935871743471e+00,2.472094207411747568e+00
2.004008016032063910e+00,2.257814834975173213e+00
2.024048096192384794e+00,1.464647661956037794e+00
2.044088176352705233e+00,1.537861684423448727e+00
2.064128256513026116e+00,9.418054920464623558e-01
2.084168336673346555e+00,1.165609016595173131e+00
2.104208416833667439e+00,2.144409374001380542e+00
2.124248496993987878e+00,1.552890536421713374e+00
2.144288577154308317e+00,1.913728233567712156e+00
2.164328657314629201e+00,1.690028017948783656e+00
2.184368737474949640e+00,1.705212542112611862e+00
2.204408817635270523e+00,4.952365659442750090e-01
2.224448897795590963e+00,1.264078943430402724e+00
2.244488977955911846e+00,1.432961829491681494e+00
2.264529058116232285e+00,1.092493427941321649e+00
2.284569138276553169e+00,1.420458108754053095e+00
2.304609218436873608e+00,2.050883251218567516e+00
2.324649298597194491e+00,1.363416710473484006e+00
2.344689378757514930e+00,7.263603350397842551e-01
2.364729458917835370e+00,8.784669092102630472e-01
2.384769539078156253e+00,1.241536572062162724e+00
2.404809619238476692e+00,2.070552661112277093e+00
2.424849699398797576e+00,1.059856975394102729e+00
2.444889779559118015e+00,3.721109458065375852e-01
2.464929859719438898e+00,1.888306058720496949e-01
2.484969939879759337e+00,1.142126395157959218e+00
2.505010020040080221e+00,1.096595441838382312e+00
2.525050100200400660e+00,1.956971464093052226e+00
2.545090180360721543e+00,1.693859912684255731e+00
2.565130260521041983e+00,9.541681103800555563e-01
2.585170340681362422e+00,2.244496902560632279e+00
2.605210420841683305e+00,8.844650690035644747e-01
2.625250501002003745e+00,1.060360006077329276e+00
2.645290581162324628e+00,5.513204641349667146e-02
2.665330661322645067e+00,-2.329692376568420764e-01
2.685370741482965951e+00,7.270092730209875009e-01
2.705410821643286390e+00,6.532995880372233222e-01
2.725450901803607273e+00,8.877806315370369017e-01
2.745490981963927712e+00,7.990029136951790623e-01
2.765531062124248596e+00,4.844289192809860811e-01
2.785571142284569035e+00,1.204605808271554723e+00
2.805611222444889474e+00,1.273849782015719967e+00
2.825651302605210358e+00,7.822585072448331456e-01
2.845691382765530797e+00,1.069230394875559709e+00
2.865731462925851680e+00,5.006135245233959141e-01
2.885771543086172120e+00,7.897537275964146009e-01
2.905811623246493003e+00,5.002350522492697849e-01
2.925851703406813442e+00,3.499669743351978557e-01
2.945891783567134325e+00,5.894149212133273918e-01
2.965931863727454765e+00,-3.357818017813246625e-02
2.985971943887775648e+00,6.819628414839808972e-01
3.006012024048096087e+00,4.080535458398216742e-01
3.026052104208416527e+00,-3.332823940752428493e-01
3.046092184368737410e+00,3.000539666613880052e-01
3.066132264529057849e+00,7.162707079859880199e-01
3.086172344689378733e+00,-3.923679267327595532e-02
3.106212424849699172e+00,7.175364753882610414e-01
3.126252505010020055e+00,-7.127683570171732264e-01
3.146292585170340494e+00,-9.664004635697465151e-01
3.166332665330661378e+00,-7.127659346184592182e-02
3.186372745490981817e+00,-2.216935617055834640e-02
3.206412825651302256e+00,-1.013569200020219219e+00
3.226452905811623140e+00,-7.428713548121773647e-01
3.246492985971943579e+00,-6.527586460391996415e-01
3.266533066132264462e+00,1.021312991447235474e-01
3.286573146292584902e+00,-1.396356547195516828e+00
3.306613226452905785e+00,-4.716579698692155431e-01
3.326653306613226224e+00,-9.965211234947121133e-01
3.346693386773547108e+00,1.968197835685083219e-01
3.366733466933867547e+00,-9.972281116898312758e-02
3.386773547094188430e+00,-2.118615729162920958e-01
3.406813627254508869e+00,-3.818163212742514689e-01
3.426853707414829309e+00,-1.367106010940410066e+00
3.446893787575150192e+00,-7.485183321989240524e-01
3.466933867735470631e+00,-2.606459385865774747e-01
3.486973947895791515e+00,-9.921641810757839686e-01
3.507014028056111954e+00,-1.239829607140570777e+00
3.527054108216432837e+00,1.971799492500407869e-01
3.547094188376753277e+00,-5.651325705818335265e-01
3.567134268537074160e+00,-1.198073632059647453e+00
3.587174348697394599e+00,-1.232249033100649704e-01
3.607214428857715482e+00,-3.615499682562245409e-01
3.627254509018035922e+00,-1.121498514067215790e+00
3.647294589178356361e+00,-1.604057085187707621e+00
3.667334669338677244e+00,-1.574689087201934345e+00
3.687374749498997684e+00,-1.187648959339503651e+00
3.707414829659318567e+00,-9.244861860424595790e-01
3.727454909819639006e+00,-1.264374428200719214e+00
3.747494989979959890e+00,-1.564847185186118761e+00
3.767535070140280329e+00,-6.772538474412321818e-01
3.787575150300601212e+00,-1.059906308332508429e+00
3.807615230460921651e+00,-1.134781709546375250e+00
3.827655310621242535e+00,-1.394329474884161479e+00
3.847695390781562974e+00,-1.476296680167781483e+00
3.867735470941883413e+00,-7.612253269111822762e-01
3.887775551102204297e+00,-6.564959801818385232e-01
3.907815631262524736e+00,-1.772855975684950458e+00
3.927855711422845619e+00,-1.347264666340750816e+00
3.947895791583166059e+00,-1.473294399847865810e+00
3.967935871743486942e+00,-1.883807231324265086e+00
3.987975951903807381e+00,-1.021588357060461583e+00
4.008016032064127820e+00,-1.986141843664582574e+00
4.028056112224448704e+00,-1.549804893248428073e+00
4.048096192384769587e+00,-8.748622781050158226e-01
4.068136272545089582e+00,-1.159609413646069509e+00
4.088176352705410466e+00,-2.775402892787522724e+00
4.108216432865731349e+00,-2.031579702800860421e+00
4.128256513026052232e+00,-8.582349521424345040e-01
4.148296593186372228e+00,-1.745242032106900432e+00
4.168336673346693111e+00,-2.376659364245493400e+00
4.188376753507013994e+00,-2.190749986218762047e+00
4.208416833667334878e+00,-1.307392465526496572e+00
4.228456913827654873e+00,-2.128004663444788669e+00
4.248496993987975756e+00,-1.159107672803486366e+00
4.268537074148296639e+00,-1.428223754281700675e+00
4.288577154308616635e+00,-2.992674386398320063e+00
4.308617234468937518e+00,-2.154835769943745483e+00
4.328657314629258401e+00,-1.725381040826939660e+00
4.348697394789579285e+00,-2.713216540209759664e+00
4.368737474949899280e+00,-2.792560830686230400e+00
4.388777555110220163e+00,-1.104623954333289859e+00
4.408817635270541047e+00,-1.284102139362288897e+00
4.428857715430861930e+00,-2.328341508980108721e+00
4.448897795591181925e+00,-2.318255142950994774e+00
4.468937875751502808e+00,-2.392634455937282301e+00
4.488977955911823692e+00,-1.021769411630295110e+00
